"","taxonID","comparisonID","trt.code.1","trt.code.2","wad1.obs.mean","wad2.obs.mean","wad1.boot.mean","wad1.boot.median","wad1.boot.CI.L","wad1.boot.CI.U","wad2.boot.mean","wad2.boot.median","wad2.boot.CI.L","wad2.boot.CI.U","wad.diff.obs","wad.diff.boot.mean","wad.diff.boot.median","wad.diff.boot.CI.L","wad.diff.boot.CI.U","wad.diff.p.value","ape.obs","ape.boot.mean","ape.boot.median","ape.boot.CI.L","ape.boot.CI.U","r.obs","r.boot.mean","r.boot.median","r.boot.CI.L","r.boot.CI.U","f.obs","f.boot.mean","f.boot.median","f.boot.CI.L","f.boot.CI.U","N1.obs.mean","N2.obs.mean","N1.boot.mean","N1.boot.median","N1.boot.CI.L","N1.boot.CI.U","N2.boot.mean","N2.boot.median","N2.boot.CI.L","N2.boot.CI.U","N.obs.mean","N.boot.mean","N.boot.median","N.boot.CI.L","N.boot.CI.U","message","AFE_48h","AFE_168h","taxonomy","bin"
"1","sip118",3,"t168_16O_t48_16O","t48_18O",1.72244460273582,1.72965852833432,1.72245102777416,1.72252375580323,1.72006779469372,1.72433222129623,1.72970249182368,1.72965852833432,1.72801525040346,1.73229847886345,0.00721392559850931,0.00725146404951692,0.00716606522182672,0.00444585688559794,0.0104441393760228,0.011,0.106643746643048,0.107208508118261,0.105926654984237,0.0656662591842031,0.154451773908492,312.567008059939,311.947412434009,310.458378224384,205.40481725734,434.809184669461,5.20945013433233,5.19912354056681,5.17430630373974,3.42341362095566,7.24681974449102,3688.00004124368,3154.29634303718,3701.16656547659,3674.20855190636,2767.90384933289,4794.48202637834,3156.62558861654,3154.29634303718,2819.98348511897,3447.64092567077,3510.09880850818,3519.65290652324,3500.28369040251,2877.95943600479,4230.61553522729,"none",0.106643747,0.131460776,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__JABFXA01;s__","12C16O_0h_50_P09_coass_bin.13"
"2","sip118",5,"t168_16O_t48_16O","t168_18O",1.72244460273582,1.73133727846341,1.72245102777416,1.72252375580323,1.72006779469372,1.72433222129623,1.73131049653176,1.73133727846341,1.72967447634908,1.73220188536092,0.00889267572759356,0.00885946875760387,0.0088367815019883,0.00640010306516996,0.0114619933240052,0.013,0.131460776011916,0.130979723053793,0.130676504616423,0.0945674191224049,0.169696335115351,113.072669469062,112.001457963461,111.739794076533,86.4147173452113,136.462617344659,1.88454449115104,1.86669096605769,1.86232990127555,1.44024528908686,2.27437695574432,3688.00004124368,3439.89220332217,3701.16656547659,3674.20855190636,2767.90384933289,4794.48202637834,3443.80079586906,3439.89220332217,3257.55552316058,3660.1019722745,3605.29742860318,3615.37797560741,3602.36986350268,2985.09716449422,4335.43047119954,"none",0.106643747,0.131460776,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__JABFXA01;s__","12C16O_0h_50_P09_coass_bin.13"
"3","sip119",3,"t168_16O_t48_16O","t48_18O",1.71438162077634,1.74541673535648,1.71435297332856,1.71439274511091,1.71170500123708,1.71613089124856,1.74537202918717,1.74541673535648,1.74263082875881,1.74683437560822,0.0310351145801386,0.0310176249972583,0.0310253842661457,0.0279042549481823,0.0341250867347636,0.012,0.460879452790226,0.460639103777067,0.460732340140751,0.414070077462749,0.507270904219698,144.413445301871,144.521737283901,144.827338761021,88.7938059836934,197.910103043793,2.40689075503118,2.40869562139835,2.41378897935035,1.47989676639489,3.29850171739655,445.507645301074,234.763696122099,444.3584891965,447.413212096899,243.73838328828,616.875736362948,236.919987645759,234.763696122099,87.2817423400432,392.417014541636,375.259662241415,375.21232201292,377.458866131201,240.083540691707,494.048841054881,"Warning: no occurrences in rep rA_t48_16O (t48_16O/t168_16O)",0.460879453,0.620319874,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__","12C16O_48h_50_P10_coass_bin.39"
"4","sip119",5,"t168_16O_t48_16O","t168_18O",1.71438162077634,1.75615327765195,1.71435297332856,1.71439274511091,1.71170500123708,1.71613089124856,1.75608749045511,1.75615327765195,1.75220190612801,1.7625,0.0417716568756148,0.0417349704662563,0.0415791963231518,0.0370396603025902,0.0478882153919224,0.007,0.620319873904854,0.619797062786304,0.617287095617728,0.549474137346758,0.71220669728336,57.8147811354271,57.7718868885521,57.8147811354271,36.8305743754619,77.8213538907937,0.963579685590451,0.962864781475868,0.963579685590451,0.613842906257699,1.29702256484656,445.507645301074,280.975206648107,444.3584891965,447.413212096899,243.73838328828,616.875736362948,283.691401044256,280.975206648107,126.302449417108,422.820683466892,390.663499083418,390.802793145752,391.376134499343,250.971734714048,507.613451309607,"Warning: no occurrences in rep rA_t48_16O (t48_16O/t168_16O)",0.460879453,0.620319874,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__","12C16O_48h_50_P10_coass_bin.39"
"5","sip12",5,"t168_16O_t48_16O","t168_18O",1.72703149091323,1.74312563479211,1.72703346067197,1.72702334826417,1.72535455049438,1.72916489701173,1.74300635020375,1.74312563479211,1.73550886489513,1.74741846911437,0.0160941438788753,0.0159687962858699,0.0162041860617934,0.00865557014867255,0.0213218277715567,0.018,0.237309441971138,0.235469043742647,0.23890256871181,0.127640245870887,0.314635312124266,38.5025873381896,37.2055199727605,37.1645517238692,26.4755471987535,47.1936180067881,0.641709788969827,0.620091999546008,0.61940919539782,0.441259119979225,0.786560300113134,626.523667440255,787.167008151384,625.686904583855,626.83576240824,327.377809914933,900.662113608034,797.251222731453,787.167008151384,442.744029885052,1425.79935444543,680.071447677298,682.875010633054,680.071447677298,442.573763212581,938.031944719424,"Warning: no occurrences in rep rA_t48_16O (t48_16O/t168_16O)",0,0.237309442,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__","12C16O_0h_100_P14_coass_bin.15"
"6","sip120",5,"t168_16O_t48_16O","t168_18O",1.72497703295177,1.73099458301188,1.72497968772059,1.72501640106407,1.72344116338816,1.72625142482278,1.73097009227073,1.73099458301188,1.72631068456981,1.73565222874666,0.00601755006010629,0.00599040455013144,0.00596287105810767,0.00153350099513569,0.01034567339171,0.038,0.0888314175741687,0.0884349773352099,0.0880214530384486,0.0226397638728516,0.152697686085667,46.3318434461934,45.9015062661618,44.9824474446693,11.703743581833,81.4580172799995,0.772197390769891,0.765025104436029,0.749707457411155,0.19506239303055,1.35763362133333,2166.85306040238,2224.93529869749,2174.35602723663,2169.33839843827,1556.8016853138,2839.55063226975,2226.64245191246,2224.93529869749,1771.9501042394,2731.07807981547,2186.21380650075,2191.78483546191,2182.90002245291,1739.84763298286,2648.49571197124,"none",-0.003462164,0.088831418,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Thermoleophilaceae;g__;s__","H3-16-all-fractions_metab_conc_83.Actinobacteria_70_0"
"7","sip127",3,"t168_16O_t48_16O","t48_18O",1.72808744675033,1.73866244618617,1.72810235090605,1.72806457581376,1.72630212571327,1.73018791439425,1.73873250208217,1.73866244618617,1.73389226730729,1.7437783488655,0.0105749994358424,0.0106301511761214,0.0105978703724188,0.00572647112750752,0.0154457162991109,0.014,0.155837104950242,0.156657150701657,0.156176206499901,0.0843134004706401,0.227815464583343,258.065522880782,257.284121044185,257.825053182341,145.690353386044,372.278952155623,4.30109204801304,4.28806868406975,4.29708421970568,2.42817255643407,6.20464920259371,2292.70181861818,1364.25393983811,2296.97677990361,2288.32910028792,1882.05440074443,2759.90401819738,1358.4586336566,1364.25393983811,965.347379991223,1673.80699026941,1983.21919235816,1984.13739782128,1975.1985519894,1684.87952626766,2294.69290238354,"none",0.155837105,0.278102944,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp001746295","H2-16-all-fractions_metab_conc_5.Streptomyces_sviceus_71_22"
"8","sip127",5,"t168_16O_t48_16O","t168_18O",1.72808744675033,1.74695932247207,1.72810235090605,1.72806457581376,1.72630212571327,1.73018791439425,1.74696918122124,1.74695932247207,1.74109026020517,1.75443660345832,0.0188718757217421,0.0188668303151933,0.0187224962313497,0.0128711587418713,0.0263221553062303,0.016,0.278102944146662,0.278035964118113,0.275764548818934,0.189507860692989,0.387886960353698,162.828176453308,161.918854530533,161.357274988023,108.734931750081,207.140517194535,2.71380294088847,2.69864757550889,2.68928791646704,1.81224886250135,3.45234195324226,2292.70181861818,2777.08898165045,2296.97677990361,2288.32910028792,1882.05440074443,2759.90401819738,2801.09825140375,2777.08898165045,1572.47982600457,4407.47390576208,2454.1642062956,2465.01727040366,2448.31156239795,1952.23266721072,3049.36185226503,"none",0.155837105,0.278102944,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp001746295","H2-16-all-fractions_metab_conc_5.Streptomyces_sviceus_71_22"
"9","sip136",5,"t168_16O_t48_16O","t168_18O",1.72831299900903,1.75206938325741,1.72826533176105,1.72831299900903,1.7235,1.7375,1.75194592955809,1.75206938325741,1.74672554726692,1.7625,0.0237563842483794,0.0236740335047214,0.0233969174258499,0.0137994347658885,0.0338275341684378,0.0467479674796748,0.350038703665135,0.348964167027409,0.345704853304247,0.202780389512045,0.499824080433078,27.061835916771,27.0684375381446,26.9016674746921,9.45876741666281,45.0636323672534,0.45103059861285,0.451140625635743,0.448361124578201,0.157646123611047,0.751060539454223,269.966511227495,432.236696261713,270.091199922139,269.966511227495,62.7432683701997,497.622614692663,437.167471335584,432.236696261713,155.840465541406,691.486334513886,324.056572905568,325.783290393287,324.056572905568,156.94881446771,494.821270720258,"Warning: no occurrences in rep rA_t168_16O & rA_t48_16O & rC_t168_16O (t48_16O/t168_16O)",0,0.350038704,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__","12C16O_0h_100_P16_coass_bin.1"
"10","sip147",3,"t168_16O_t48_16O","t48_18O",1.73170583868259,1.7542521341714,1.73155061567739,1.73123311441363,1.72285768332299,1.74749941832525,1.7541186049774,1.7542521341714,1.74474225139917,1.7625,0.0225462954888032,0.0225619304624421,0.0233392934567129,0.00517080441984739,0.0367244048279179,0.094,0.331579439949272,0.33226162392173,0.343706899298259,0.0755451998561752,0.54267942957248,123.243521332729,129.117629185038,121.972092652315,16.4095514165163,279.933784919282,2.05405868887882,2.1519604864173,2.03286821087192,0.273492523608605,4.66556308198803,534.314966402767,266.763881942073,534.4565546193,525.336195342887,121.195438940678,979.021360106933,264.333598262431,266.763881942073,27.7531068328644,567.679632715152,445.131271582536,444.415569167011,437.39468785175,157.676067643756,772.349292094634,"Warning: no occurrences in rep rA_t48_16O (t48_16O/t168_16O)",0.33157944,0.452877537,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Luteimonas_B;s__","H3-16-all-fractions_metab_conc_13.Lysobacter_68_0"
