"","bin","t168_18O_100","t168_18O_50","t24_18O_100","t48_18O_100","t48_18O_50","t72_18O_100","classification"
"1","12C16O_0h_100_P08_coass_bin.13",0.192150937406446,0,0,0,0,0,"d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__UBA5704;s__"
"2","12C16O_0h_100_P08_coass_bin.18",0,0,0,0.0239313905762601,0,0,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__WHSW01;s__"
"3","12C16O_0h_100_P08_coass_bin.20",0,0,0,0,0,0,"d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TH5893;s__"
"4","12C16O_0h_100_P08_coass_bin.5",0.170012238530759,0.184600199060399,0,0.0517749709533962,0,0.0246195238803809,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__"
"5","12C16O_0h_100_P14_coass_bin.15",0.326931407912185,0.238919284925305,0,0,0,0,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__"
"6","12C16O_0h_100_P16_coass_bin.1",0,0.345690883770768,0,0,0,0,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__"
"7","12C16O_0h_50_P09_coass_bin.13",0.131321874489902,0.130681057515047,0.0497089857166816,0.126231257495831,0.105928293294275,0.0853386492260233,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__JABFXA01;s__"
"8","12C16O_0h_50_P09_coass_bin.29",0,0.0845726328707862,0,0,0,0,"d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__JACDDX01;s__"
"9","12C16O_0h_50_P09_coass_bin.5",0,0,0,0,0,0,"d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__;s__"
"10","12C16O_0h_50_P09_coass_bin.6",0,0,0,0,0,0,"d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__"
"11","12C16O_0h_50_P10_coass_bin.14",0,0,0,0.21729683995757,0,0,"d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__"
"12","12C16O_0h_50_P10_coass_bin.20",0,0,0,0.0462017506380809,0,0,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Sulfurifustaceae;g__;s__"
"13","12C16O_0h_50_P10_coass_bin.29",0,0,0,0.155392225753665,0,0.0883665427267986,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__"
"14","12C16O_0h_50_P13_coass_bin.10",0,0,0,0.0481060215173665,0,0,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__;f__;g__;s__"
"15","12C16O_0h_50_P13_coass_bin.12",0.130616829961675,0.0917610497262531,0,0.0471751497511132,0,0,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SCGC-AG-212-J23;s__"
"16","12C16O_0h_50_unf_bin.25",0,0,0,0.0411425547892042,0,0,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__3-1-20CM-4-69-9;s__"
"17","12C16O_0h_50_unf_bin.34",0,0,0,0.0443777477437165,0,0,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__3-1-20CM-4-69-9;s__"
"18","12C16O_168h_100_P08_coass_bin.11",0.0620098816132866,0.0562191742648143,0,0.0458836229929993,0,0,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__;s__"
"19","12C16O_168h_100_P08_coass_bin.27",0,0,0,0.0440525765960079,0,0,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__AC-32;s__"
"20","12C16O_168h_100_P08_coass_bin.31",0.246659610290439,0.293940177987837,0,0.110623629587943,0.131294997597273,0.121452126814396,"d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__Longimicrobiaceae;g__;s__"
"21","12C16O_168h_100_P14_coass_bin.3",0,0,0,0,0,0,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__AC-32;s__"
"22","12C16O_168h_100_P14_coass_bin.32",0,0,0,0,0,0,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__3-1-20CM-4-69-9;s__"
"23","12C16O_168h_100_unf_bin.12",0.124819140718295,0.142011400755013,0,0.0615997710051623,0,0,"d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__2-12-FULL-66-21;g__2-12-FULL-66-21;s__"
"24","12C16O_168h_50_P09_coass_bin.26",0,0,0,0,0,0,"d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__;s__"
"25","12C16O_168h_50_P09_coass_bin.27",0,0,0,0,0,0,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__UBA5186;s__"
"26","12C16O_168h_50_P09_coass_bin.9",0.344775923137946,0.345449428965572,0.0536959981094622,0.201578214070352,0.184352935607307,0.206107322858474,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__"
"27","12C16O_168h_50_P10_coass_bin.16",0,0,0,0,0,0,"d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__"
"28","12C16O_168h_50_P10_coass_bin.19",0.590813909660972,0.544028072884037,0,0.619508089619511,0,0.565156169076003,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__"
"29","12C16O_168h_50_P10_coass_bin.31",0,0,0,0.0357216780882202,0,0,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__;g__;s__"
"30","12C16O_168h_50_P10_coass_bin.36",0,0.4000844224979,0,0,0.268000723046818,0,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__"
"31","12C16O_168h_50_P13_coass_bin.23",0,0,0,0,0,0,"d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__;s__"
"32","12C16O_168h_50_P13_coass_bin.8",0,0,0,0.0393999882415995,0,0,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__;s__"
"33","12C16O_168h_50_unf_bin.10",0,0,0,0,0,0,"d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__;s__"
"34","12C16O_168h_50_unf_bin.22",0.154218903576321,0.13470841555054,0,0.158645685919919,0.0484477537328021,0.0396502652285415,"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-40;g__;s__"
"35","12C16O_168h_50_unf_bin.57",0,0,0,0.0307493315979422,0,0,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__3-1-20CM-4-69-9;s__"
"36","12C16O_24h_100_P08_coass_bin.12",0.0316852563343219,0,0,0.0415741835309356,0,0,"d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__SPCO01;s__"
"37","12C16O_24h_100_P08_coass_bin.7",0.226702194416997,0.197255142802609,0,0.277591844282715,0.164339955799871,0.28373603698515,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Ornithinibacter;s__"
"38","12C16O_24h_100_P14_coass_bin.12",0,0,0,0.115325258914044,0,0,"d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__;s__"
"39","12C16O_24h_100_P14_coass_bin.30",0,0,0,0,0,0,"d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__;s__"
"40","12C16O_24h_100_P16_coass_bin.6",0,0,0,0,0,0,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__;s__"
"41","12C16O_24h_100_unf_Bacillales_marker_41_19",0,0,0.33269990852004,0.414161501073248,0.275930854722441,0,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales"
"42","12C16O_24h_100_unf_Bacillus_megabin_40_7",0,0,0,0.3964127057191,0,0,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__"
"43","12C16O_24h_100_unf_bin.18",0,0,0,0,0,0,"d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__;s__"
"44","12C16O_24h_100_unf_bin.47",0,0,0,0.0853799079476963,0,0,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__"
"45","12C16O_24h_100_unf_bin.5",0.16848601885312,0.151697441025125,0.053995479184441,0.134830086326092,0.0999089778125531,0.0794262126609957,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium canariense"
"46","12C16O_48h_100_P08_coass_bin.8",0,0.198150330309243,0.0904437847812604,0.170004362579858,0.132368004333498,0.17950753341513,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Ornithinibacter;s__"
"47","12C16O_48h_100_P14_coass_bin.1",0,0,0,0,0,0,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__3-1-20CM-4-69-9;s__"
"48","12C16O_48h_100_P14_coass_bin.6",0.329853617200623,0.357073646483435,0.0496263200493514,0.194166685386658,0.19545604977226,0.212485663507268,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__"
"49","12C16O_48h_100_unf_Bacillus_40_8",0,0,0,0.398511335887412,0,0,"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__"
"50","12C16O_48h_100_unf_bin.14",0,0,0,0,0,0,"d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__;s__"
