Class,Color
Thermoleophilia,#2444FF
Acidimicrobiia,#2444FE
Gemmatimonadetes,#EA15D6
Gammaproteobacteria,#726C20
Actinomycetia,#2344FF
Alphaproteobacteria,#EFEF7F
Rubrobacteria,#2443FF
Myxococcia,#000000
Thermoanaerobaculia,#5EFFA1
Nitrososphaeria,#B8BF4F
Verrucomicrobiae,#B4FF00
Ellin6529,#E8861A
Blastocatellia,#5EFFA2
Vicinamibacteria,#5EFFA3
UBA4738,#2445FF
Chloroflexia,#E8861B
Bacilli,#687a6a
Acidobacteriae,#2444FE
Bacteroidia,#000000
Ktedonobacteria,#E8861A
#E8861A,#000000
