#SampleID	condition	time	prec
X.0h.100.P08	0h_100	0	100
X.0h.100.P14	0h_100	0	100
X.0h.100.P16	0h_100	0	100
X.24h.100.P08	24h_100	24	100
X.24h.100.P14	24h_100	24	100
X.24h.100.P16	24h_100	24	100
X.48h.100.P08	48h_100	48	100
X.48h.100.P14	48h_100	48	100
X.48h.100.P16	48h_100	48	100
X.72h.100.P08	72h_100	72	100
X.72h.100.P14	72h_100	72	100
X.72h.100.P16	72h_100	72	100
X.168h.100.P08	168h_100	168	100
X.168h.100.P14	168h_100	168	100
X.168h.100.P16	168h_100	168	100
X.0h.50.P09	0h_50	0	50
X.0h.50.P10	0h_50	0	50
X.0h.50.P13	0h_50	0	50
X.48h.50.P09	48h_50	48	50
X.48h.50.P10	48h_50	48	50
X.48h.50.P13	48h_50	48	50
X.168h.50.P09	168h_50	168	50
X.168h.50.P10	168h_50	168	50
X.168h.50.P13	168h_50	168	50
