Genome	12C16O_0h_100_P08_unf_init RPKM	12C16O_0h_100_P14_unf_init RPKM	12C16O_0h_100_P16_unf_init RPKM	12C16O_0h_50_P09_unf_init RPKM	12C16O_0h_50_P10_unf_init RPKM	12C16O_0h_50_P13_unf_init RPKM	12C16O_168h_100_P08_unf_init RPKM	12C16O_168h_100_P14_unf_init RPKM	12C16O_168h_100_P16_unf_init RPKM	12C16O_168h_50_P09_unf_init RPKM	12C16O_168h_50_P10_unf_init RPKM	12C16O_168h_50_P13_unf_init RPKM	12C16O_24h_100_P08_unf_init RPKM	12C16O_24h_100_P14_unf_init RPKM	12C16O_24h_100_P16_unf_init RPKM	12C16O_48h_100_P08_unf_init RPKM	12C16O_48h_100_P14_unf_init RPKM	12C16O_48h_100_P16_unf_init RPKM	12C16O_48h_50_P09_unf_init RPKM	12C16O_48h_50_P10_unf_init RPKM	12C16O_48h_50_P13_unf_init RPKM	12C16O_72h_100_P08_unf_init RPKM	12C16O_72h_100_P14_unf_init RPKM	12C16O_72h_100_P16_unf_init RPKM
12C16O_24h_100_unf_bin.14	0	0	1.046765	0	1.2736307	1.3603716	0	1.1021307	0	0	1.117254	1.2232902	1.3478384	1.2223716	1.6293145	0	1.1945819	0	0	1.1814245	1.1837023	0	1.1988772	0
12C18O_24h_100_P08_coass_bin.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_168h_50_P09_coass_bin.11	0	0	0	1.2778914	0	0	0	0	0	0.90003055	0	0	0	0	0	0	0	0	1.1273798	0	0	0	0	0
12C18O_168h_100_P16_coass_bin.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-18-all-fractions_metab_conc_56.Bacteria_56_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_168h_100_P14_coass_bin.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_72h_100_P08_coass_bin.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-18-all-fractions_metab_63.Massilia_66_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4104693	0	0	0	0	0	0
12C16O_48h_50_P10_coass_bin.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-18-all-fractions_metab_conc_45.Bacteria_60_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_168h_100_unf_bin.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_24h_100_P14_coass_bin.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_72h_100_P14_coass_bin.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_0h_100_P08_coass_bin.13	3.3797867	1.666537	1.7672273	0.8771047	0.66532445	1.2111087	1.4281558	1.4767357	1.7331221	1.0194618	0	1.045309	1.3890547	1.3227593	1.4834616	1.125196	1.2242167	1.087487	0.88000005	0	0.82879966	1.2060351	1.4144108	1.3388299
12C16O_48h_50_unf_bin.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_48h_50_unf_bin.7	0	0	0	0	0	0	0	0	0	0	0.5510031	0.7279191	0	0	0	0	0	0	0	0.9516545	1.0161247	0	0	0
12C16O_48h_50_P13_coass_bin.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_24h_100_P08_coass_bin.29	0	0	0	0	1.3458279	0	0	0	0	0	1.2536978	0	0	0	0	0	0	0	0	1.5156294	1.2641661	0	0	0
H1-18-all-fractions_metab_conc_80.Solirubrobacterales_69_26	0	0	0	0	1.3406483	1.3650588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_48h_100_P14_coass_bin.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_168h_100_P08_coass_bin.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-16-all-fractions_metab_56.Actinobacteria_73_59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_72h_100_P16_coass_bin.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3-16-all-fractions_metab_147.Actinobacteria_71_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_72h_100_unf_bin.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1-16-all-fractions_metab_conc_39.Actinobacteria_66_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_24h_100_P14_coass_bin.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C16O_72h_100_P08_coass_bin.29	0	0	0	0	0	0	0.8565645	0	0.92204106	1.111411	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12C18O_48h_100_P08_coass_bin.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
